,i,vehicle_id,manufacturer_id,zipcode,timestamp,latlon,dist,seconds,co2_grams,total_dist,total_seconds,total_co2_grams,timestamp_tripstart,avg_kmperhour,avg_co2perkm,trip_id
0,0,V54710278,V51759,12439,2021-08-19 18:10:45,"(52.4428969, 13.5257665)",0.0,0.0,0.0,0.0,0.0,0.0,2021-08-19 18:10:45,0.0,0.0,3
1,1,V54710278,V51759,12439,2021-08-19 18:11:13,"(52.4400981, 13.5299965)",0.42,28.0,47.88,0.42,28.0,48.0,2021-08-19 18:10:45,54.0,114.28571428571429,3
2,2,V54710278,V51759,12439,2021-08-19 18:11:14,"(52.4400573, 13.5300618)",0.01,1.0,1.0,0.43,29.0,49.0,2021-08-19 18:10:45,53.37931034482759,113.95348837209302,3
3,3,V54710278,V51759,12487,2021-08-19 18:11:17,"(52.4397765, 13.5304874)",0.04,3.0,3.76,0.47,32.0,53.0,2021-08-19 18:10:45,52.875,112.76595744680851,3
4,4,V54710278,V51759,12489,2021-08-19 18:11:39,"(52.437874, 13.5334278)",0.29,22.0,27.84,0.76,54.0,81.0,2021-08-19 18:10:45,50.666666666666664,106.57894736842105,3
5,5,V54710278,V51759,12489,2021-08-19 18:11:42,"(52.4376198, 13.5337973)",0.04,3.0,3.0,0.8,57.0,84.0,2021-08-19 18:10:45,50.52631578947369,105.0,3
6,6,V54710278,V51759,12489,2021-08-19 18:11:45,"(52.4372994, 13.5342742)",0.05,3.0,3.4,0.85,60.0,87.0,2021-08-19 18:10:45,51.0,102.3529411764706,3
7,7,V54710278,V51759,12489,2021-08-19 18:11:53,"(52.4367582, 13.5350757)",0.08,8.0,5.36,0.93,68.0,92.0,2021-08-19 18:10:45,49.23529411764706,98.9247311827957,3
8,8,V54710278,V51759,12489,2021-08-19 18:11:55,"(52.4367011, 13.5351625)",0.01,2.0,0.47,0.94,70.0,92.0,2021-08-19 18:10:45,48.34285714285714,97.87234042553192,3
9,9,V54710278,V51759,12489,2021-08-19 18:11:57,"(52.4366465, 13.5352489)",0.01,2.0,0.53,0.95,72.0,93.0,2021-08-19 18:10:45,47.5,97.89473684210527,3
10,10,V54710278,V51759,12489,2021-08-19 18:12:02,"(52.4364489, 13.5355536)",0.03,5.0,1.89,0.98,77.0,95.0,2021-08-19 18:10:45,45.81818181818181,96.93877551020408,3
11,11,V54710278,V51759,12489,2021-08-19 18:12:04,"(52.4364138, 13.5356065)",0.01,2.0,0.66,0.99,79.0,96.0,2021-08-19 18:10:45,45.11392405063291,96.96969696969697,3
12,12,V54710278,V51759,12489,2021-08-19 18:12:13,"(52.436073, 13.53613)",0.05,9.0,3.3,1.04,88.0,99.0,2021-08-19 18:10:45,42.545454545454554,95.1923076923077,3
13,13,V54710278,V51759,12489,2021-08-19 18:12:16,"(52.4360109, 13.5362246)",0.01,3.0,0.5,1.05,91.0,100.0,2021-08-19 18:10:45,41.53846153846154,95.23809523809524,3
14,14,V54710278,V51759,12489,2021-08-19 18:12:29,"(52.4358354, 13.5365007)",0.03,13.0,1.26,1.08,104.0,101.0,2021-08-19 18:10:45,37.38461538461539,93.51851851851852,3
15,15,V54710278,V51759,12489,2021-08-19 18:12:33,"(52.4357806, 13.5365879)",0.01,4.0,0.43,1.09,108.0,101.0,2021-08-19 18:10:45,36.333333333333336,92.66055045871559,3
16,16,V54710278,V51759,12489,2021-08-19 18:12:39,"(52.4357213, 13.5366803)",0.01,6.0,0.45,1.1,114.0,101.0,2021-08-19 18:10:45,34.736842105263165,91.81818181818181,3
17,17,V54710278,V51759,12489,2021-08-19 18:13:33,"(52.4351325, 13.5375894)",0.09,54.0,3.78,1.19,168.0,105.0,2021-08-19 18:10:45,25.5,88.23529411764706,3
18,18,V54710278,V51759,12489,2021-08-19 18:13:40,"(52.4351099, 13.5376237)",0.0,7.0,0.0,1.19,175.0,105.0,2021-08-19 18:10:45,24.479999999999997,88.23529411764706,3
19,19,V54710278,V51759,12489,2021-08-19 18:13:41,"(52.4350641, 13.537693)",0.01,1.0,1.52,1.2,176.0,107.0,2021-08-19 18:10:45,24.545454545454547,89.16666666666667,3
20,20,V54710278,V51759,12489,2021-08-19 18:13:42,"(52.4350197, 13.5377637)",0.01,1.0,1.37,1.21,177.0,108.0,2021-08-19 18:10:45,24.610169491525422,89.25619834710744,3
